IMG_Index;Label;Repetition;Seed;#Iterations_Att;#Iterations_att_adaptive;#Iterations_Normal;#Iterations_Normal_adaptive;Winner Method;;;;;
56;3;5;1123;NA;NA;NA;NA;;;0;0;1;0
57;2;1;4398;NA;NA;NA;NA;;;0;0;1;0
57;2;2;980;NA;NA;NA;NA;;;0;0;1;0
57;2;3;987423;NA;NA;NA;NA;;;0;0;1;0
57;2;4;99982;NA;NA;NA;NA;;;0;0;1;0
57;2;5;1123;NA;NA;NA;NA;;;0;0;1;0
58;1;1;4398;NA;NA;NA;NA;;;0;0;1;0
58;1;2;980;NA;NA;NA;NA;;;0;0;1;0
58;1;3;987423;NA;NA;NA;NA;;;0;0;1;0
58;1;4;99982;NA;NA;NA;NA;;;0;0;1;0
58;1;5;1123;NA;309;NA;NA;Heatmaps adaptive;;1;0;0;0
59;0;1;4398;NA;NA;NA;NA;;;0;0;1;0
59;0;2;980;NA;NA;NA;NA;;;0;0;1;0
59;0;3;987423;NA;NA;NA;NA;;;0;0;1;0
59;0;4;99982;NA;NA;NA;NA;;;0;0;1;0
59;0;5;1123;NA;NA;NA;NA;;;0;0;1;0
60;9;1;4398;NA;408;NA;460;Heatmaps adaptive;;0;0;0;1
60;9;2;980;NA;404;NA;494;Heatmaps adaptive;;0;0;0;1
60;9;3;987423;NA;216;NA;427;Heatmaps adaptive;;0;0;0;1
60;9;4;99982;NA;325;NA;463;Heatmaps adaptive;;0;0;0;1
60;9;5;1123;NA;330;NA;482;Heatmaps adaptive;;0;0;0;1
61;8;1;4398;NA;NA;NA;495;Normal Adaptive;;0;1;0;0
61;8;2;980;NA;NA;NA;NA;;;0;0;1;0
61;8;3;987423;NA;NA;NA;NA;;;0;0;1;0
61;8;4;99982;NA;435;NA;NA;Heatmaps adaptive;;1;0;0;0
61;8;5;1123;NA;NA;NA;NA;;;0;0;1;0
62;7;1;4398;NA;NA;NA;NA;;;0;0;1;0
62;7;2;980;NA;NA;NA;NA;;;0;0;1;0
62;7;3;987423;NA;NA;NA;NA;;;0;0;1;0
62;7;4;99982;NA;NA;NA;NA;;;0;0;1;0
62;7;5;1123;NA;NA;NA;NA;;;0;0;1;0
63;6;1;4398;NA;NA;NA;NA;;;0;0;1;0
63;6;2;980;NA;NA;NA;NA;;;0;0;1;0
63;6;3;987423;NA;NA;NA;NA;;;0;0;1;0
63;6;4;99982;NA;NA;NA;NA;;;0;0;1;0
63;6;5;1123;NA;NA;NA;NA;;;0;0;1;0
